environment: 
YAML: configs/bt.sc.c10.yaml
==> SEED: 42
==> num_classes: 10
==> data_name: cifar10
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar10', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'energy'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.en.c10.r18.e800.pth
==> config: configs/bt.sc.c10.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [33/800] train_loss_con: 3165.550 energy_loss: 255.994
[GPU2] epochs: [34/800] train_loss_con: 3151.724 energy_loss: 255.952
[GPU2] epochs: [35/800] train_loss_con: 3134.549 energy_loss: 255.915
[GPU2] epochs: [36/800] train_loss_con: 3138.457 energy_loss: 256.060
[GPU2] epochs: [37/800] train_loss_con: 3116.035 energy_loss: 256.065
[GPU2] epochs: [38/800] train_loss_con: 3044.282 energy_loss: 256.101
[GPU2] epochs: [39/800] train_loss_con: 2985.799 energy_loss: 255.997
[GPU2] epochs: [40/800] train_loss_con: 2887.317 energy_loss: 256.010
[GPU2] epochs: [41/800] train_loss_con: 2858.143 energy_loss: 255.983
[GPU2] epochs: [42/800] train_loss_con: 2763.676 energy_loss: 256.046
[GPU2] epochs: [43/800] train_loss_con: 2705.472 energy_loss: 255.909
[GPU2] epochs: [44/800] train_loss_con: 2622.490 energy_loss: 255.893
[GPU2] epochs: [45/800] train_loss_con: 2555.468 energy_loss: 255.940
[GPU2] epochs: [46/800] train_loss_con: 2503.950 energy_loss: 256.064
[GPU2] epochs: [47/800] train_loss_con: 2429.967 energy_loss: 256.021
[GPU2] epochs: [48/800] train_loss_con: 2358.851 energy_loss: 255.950
[GPU2] epochs: [49/800] train_loss_con: 2268.033 energy_loss: 255.956
[GPU2] epochs: [50/800] train_loss_con: 2191.100 energy_loss: 255.945
[GPU2] epochs: [51/800] train_loss_con: 2126.090 energy_loss: 255.983
[GPU2] epochs: [52/800] train_loss_con: 2050.628 energy_loss: 255.939
[GPU2] epochs: [53/800] train_loss_con: 1987.187 energy_loss: 256.041
[GPU2] epochs: [54/800] train_loss_con: 1914.597 energy_loss: 255.874
[GPU2] epochs: [55/800] train_loss_con: 1855.032 energy_loss: 255.776
[GPU2] epochs: [56/800] train_loss_con: 1799.023 energy_loss: 255.639
[GPU2] epochs: [57/800] train_loss_con: 1740.186 energy_loss: 256.031
[GPU2] epochs: [58/800] train_loss_con: 1678.983 energy_loss: 255.954
[GPU2] epochs: [59/800] train_loss_con: 1616.914 energy_loss: 255.757
[GPU2] epochs: [60/800] train_loss_con: 1564.599 energy_loss: 254.852
[GPU2] epochs: [61/800] train_loss_con: 1519.169 energy_loss: 255.697
[GPU2] epochs: [62/800] train_loss_con: 1458.651 energy_loss: 256.066
[GPU2] epochs: [63/800] train_loss_con: 1404.428 energy_loss: 255.932
[GPU2] epochs: [64/800] train_loss_con: 1359.310 energy_loss: 255.286
[GPU2] epochs: [65/800] train_loss_con: 1324.078 energy_loss: 253.730
[GPU2] epochs: [66/800] train_loss_con: 1290.203 energy_loss: 250.967
[GPU2] epochs: [67/800] train_loss_con: 1259.984 energy_loss: 247.930
[GPU2] epochs: [68/800] train_loss_con: 1232.891 energy_loss: 247.643
[GPU2] epochs: [69/800] train_loss_con: 1200.089 energy_loss: 236.426
[GPU2] epochs: [70/800] train_loss_con: 1176.764 energy_loss: 230.303
[GPU2] epochs: [71/800] train_loss_con: 1154.470 energy_loss: 225.814
[GPU2] epochs: [72/800] train_loss_con: 1130.066 energy_loss: 222.119
[GPU2] epochs: [73/800] train_loss_con: 1116.447 energy_loss: 220.500
[GPU2] epochs: [74/800] train_loss_con: 1098.670 energy_loss: 219.292
[GPU2] epochs: [75/800] train_loss_con: 1075.254 energy_loss: 218.401
[GPU2] epochs: [76/800] train_loss_con: 1060.133 energy_loss: 218.366
[GPU2] epochs: [77/800] train_loss_con: 1042.880 energy_loss: 217.747
[GPU2] epochs: [78/800] train_loss_con: 1031.144 energy_loss: 217.119
[GPU2] epochs: [79/800] train_loss_con: 1017.843 energy_loss: 217.011
[GPU2] epochs: [80/800] train_loss_con: 1004.669 energy_loss: 217.027
[GPU2] epochs: [81/800] train_loss_con: 993.033 energy_loss: 217.519
[GPU2] epochs: [82/800] train_loss_con: 979.569 energy_loss: 217.416
[GPU2] epochs: [83/800] train_loss_con: 966.006 energy_loss: 217.981
[GPU2] epochs: [84/800] train_loss_con: 964.291 energy_loss: 218.178
[GPU2] epochs: [85/800] train_loss_con: 955.541 energy_loss: 218.174
[GPU2] epochs: [86/800] train_loss_con: 945.506 energy_loss: 218.697
[GPU2] epochs: [87/800] train_loss_con: 928.594 energy_loss: 219.202
[GPU2] epochs: [88/800] train_loss_con: 925.229 energy_loss: 219.374
[GPU2] epochs: [89/800] train_loss_con: 920.361 energy_loss: 219.961
[GPU2] epochs: [90/800] train_loss_con: 911.697 energy_loss: 220.413
[GPU2] epochs: [91/800] train_loss_con: 901.512 energy_loss: 220.634
[GPU2] epochs: [92/800] train_loss_con: 896.509 energy_loss: 221.259
[GPU2] epochs: [93/800] train_loss_con: 886.389 energy_loss: 221.907
[GPU2] epochs: [94/800] train_loss_con: 892.056 energy_loss: 222.219
[GPU2] epochs: [95/800] train_loss_con: 882.675 energy_loss: 222.805
[GPU2] epochs: [96/800] train_loss_con: 876.535 energy_loss: 222.718
[GPU2] epochs: [97/800] train_loss_con: 879.173 energy_loss: 223.957
[GPU2] epochs: [98/800] train_loss_con: 870.454 energy_loss: 223.992
[GPU2] epochs: [99/800] train_loss_con: 860.150 energy_loss: 224.419
[GPU2] epochs: [100/800] train_loss_con: 855.961 energy_loss: 224.987
[GPU2] epochs: [101/800] train_loss_con: 848.624 energy_loss: 225.009
[GPU2] epochs: [102/800] train_loss_con: 850.942 energy_loss: 225.409
[GPU2] epochs: [103/800] train_loss_con: 842.564 energy_loss: 226.043
[GPU2] epochs: [104/800] train_loss_con: 838.351 energy_loss: 226.748
[GPU2] epochs: [105/800] train_loss_con: 841.322 energy_loss: 227.043
[GPU2] epochs: [106/800] train_loss_con: 831.605 energy_loss: 227.415
[GPU2] epochs: [107/800] train_loss_con: 828.999 energy_loss: 228.034
